county,shortage
Addison,"Modern Classical Language-Latin,School Nurse,Library Media Specialist,Music,School Counselor"
Chittenden,"Modern Classical Language-Latin,Health Education,School Nurse,Educational Technology,Modern Classical Language-Spanish,Modern Classical Language-French,Library Media Specialist,Music,School Counselor"
Washington,"Modern Classical Language-Latin,Health Education,School Nurse,Modern Classical Language-Spanish,Modern Classical Language-French,Math (grades 7-12),Library Media Specialist,Music,School Counselor"
Bennington,"Health Education,School Nurse,Modern Classical Language-Spanish,Library Media Specialist,Music,School Counselor"
Lamoille,"Health Education,Educational Technology,Modern Classical Language-French,Library Media Specialist,Music,School Counselor"
Orange,"Health Education,School Nurse,Educational Technology,Modern Classical Language-Spanish,Library Media Specialist,Music,School Counselor"
Rutland,"Health Education,School Nurse,Modern Classical Language-Spanish,Principal,Math (grades 7-12),Library Media Specialist,Music,School Counselor"
Windsor,"Health Education,School Nurse,Modern Classical Language-Spanish,Modern Classical Language-French,Math (grades 7-12),Design Technology,Library Media Specialist,Music,School Counselor"
Grand Isle,"School Nurse,Library Media Specialist,Music,School Counselor"
Franklin,"Educational Technology,Principal,Library Media Specialist,Music,School Counselor"
Orleans,"Educational Technology,Modern Classical Language-French,Design Technology,Library Media Specialist,Music,School Counselor"
Caledonia,"Modern Classical Language-Spanish,Library Media Specialist,Music,School Counselor"
Essex,"Modern Classical Language-Spanish,Library Media Specialist,Music,School Counselor"
Windham,"Modern Classical Language-French,Design Technology,Library Media Specialist,Music,School Counselor"
